Languages,language_code
Vai,vai
Ligbi,lig
Tonjon,tjn
Jalkunan,bxl
Jeli,jek
Loko,lok
Mende (Sierra Leone),men
Zialo,zil
Bandi,bza
Tiéyaxo Bozo,boz
Tiemacèwè Bozo,boo
Kpeego,cpo
Dzùùngoo,dnn
Duungooma,dux
Bankagooma,bxw
Kla-Dan,lda
Nuclear Dan,dnj
Goo,gov
Toura (Côte d'Ivoire),neb
Tandroy Malagasy,tdx
Kibosy Kiantalaotsy-Majunga,buc
Sara Kaba Náà,kwv
Sara Kaba,sbz
Sara Kaba Deme,kwg
Laka (Chad),lap
Kaba,ksp
Mango,mge
Gor,gqr
Nangnda,bjv
Mbay,myb
Ngam,nmc
Dagba,dgk
Morom,bdo
Gula (Chad),glu
Naba,mne
Berakou,bxv
Barclayville Grebo,gry
Manza,mzv
Suma,sqm
Gbaya-Bossangoa,gbp
Zan Gula,zna
Bua,bub
Pana (Burkina Faso),pnq
Lyélé,lee
Kalamsé,knz
Dogosé,dos
Khisa,kqm
Dijim-Bwilim,cfa
Tso,ldp
Bomu,bmq
Teme,tdo
Yotti,yot
Bali (Nigeria),bcn
Kpasam,pbn
Duupa,dae
Dii,dur
Dugun,ndu
Kolbila,klc
Ndunga,ndt
Mba,mfc
Northern Ngbandi,ngb
Southern Ngbandi,nbw
Mbangi,mgn
Yakoma,yky
Dendi (Central African Republic),deq
Langbashe,lna
South Central Banda,lnl
Banda-Yangere,yaj
Gundi,gdi
Limassa,bme
Gbanziri-Boraka,gbg
Mayogo,mdm
Bangba,bbe
Togoyo,tgy
Indri,idr
Mundang,mua
Pam (Cameroon),pmn
Mono (Cameroon),mru
Pana (Central African Republic),pnz
Kare (Central African Republic),kbn
Mingang Doso,mko
Dza,jen
Akan,aka
Wasa,wss
Abron,abr
Awutu,afu
Ganang,gne
Izere,izr
Firan,fir
Cen,cen
Tyap,kcg
Jju,kaj
Kadung,dkg
Bijim,jbm
Dũya,ldb
Ashe,ahs
Begbere-Ejar,bqv
Zhire,zhi
Mada (Nigeria),mda
Ninzo,nin
Ede Cabe,cbj
Kura Ede Nago,nqk
Baangi,bqx
Tsuvadi,tvd
Salka-Tsishingini,tsw
Tsikimba,kdl
Western-Kambari-Cishingini,asg
Yara,cdr
Gwamhi-Wuri,bga
Ut-Main,gel
Eastern Duka,uth
Western Duka,uss
Basa-Gurmana,buj
Piti,pcn
Atsam,cch
Amo,amo
Etebi,etb
Ekit,eke
Ukwa,ukq
Ibino,ibn
Iko,iki
Ito,itw
Lokaa,yaz
Cross River Mbembe,mfn
Ubaghara,byc
Oring,org
Dibo,dio
Idoma,idu
Agatu,agc
Wãpha,juw
Wapan,juk
Shoo-Minda-Nye,bcv
Jiru,jrr
Como Karim,cfg
Lamja-Dengsa-Tola,ldh
Jirim,dir
Manta,myg
Osatu,ost
Balo,bqo
Busam,bxs
Viti,vit
Ngwo,ngn
Lamnso',lns
Ubang,uba
Ukpe-Bayobiri,ukp
Alege,alf
Bete-Bendi,btt
Obanliku,bzy
Gwa,gwb
Bada (Nigeria),bau
Jarawa (Nigeria),jar
Duguri,dbm
Bile,bil
Mbula-Bwazza,mbu
Labir,jku
Shiki,gua
Dulbu,dbo
Bebe,bzv
Nsari,asj
Ejagham,etu
Eman,emn
Caka,ckx
Ipulo-Olulu,ass
Iceve-Maci,bec
Nkoya,nka
Ngwii,nlo
Nubaca,baf
Pogolo,poy
Ndamba,ndj
Nilamba,nim
Nyaturu,rim
Isanzu,isn
Manyawa,mny
Holoholo,hoo
Nyanga,nyj
Nsenga,nse
Mbugwe,mgz
Langi,lag
Kwakum,kwu
Kako,kkj
Pol,pmm
Tibea,ngy
Bonkeng,bvg
Myene,mye
Yekhee,ets
Uneme,une
Emai-Iuleha-Ora,ema
Ikhin-Arokho,ikh
Ukue,uku
Ehueun,ehu
Enwan (Edo State),env
Ikpeshi,ikp
Ivbie North-Okpela-Arhe,atg
Igwe,igw
Sasaru,sxs
Okpe (Northwestern Edo),okx
Akuku,ayk
Jonkor Bourmataguil,jeu
Teshenawa,twc
Auyokawa,auo
Warji-Gala,wji
Kariya,kil
Dokshi,dsk
Dyarim,dyr
Saya,say
Zari,zaz
Gyaazi,gyz
Bu (Zaranda),zbu
Luri,ldd
Ju,juu
Kir-Balar,kkr
Mangas,zns
Jakattoe,jrt
Pan,kwl
Nteng,nqt
Tal,tal
Kushi,kuh
Maaka,mew
Nyam,nmi
Bure,bvh
Kholok,ktc
Gude,gde
Fali,fli
Marghi South,mfm
Huba,hbb
Guduf-Gava,gdf
Cineni,cie
Wandala,mfi
Wuzlam,udl
Muyang,muy
Mada (Cameroon),mxu
Dugwor,dme
Merey,meq
Konso,kxc
West Central Oromo,gaz
Arbore,arv
El Molo,elo
Daasanach,dsh
Somali,som
Maay,ymm
Girirra,gii
Rendille,rel
Mesmes,mys
Inoric,ior
Egyptian Arabic,arz
Saidi Arabic,aec
Moroccan Arabic,ary
Tunisian Arabic,aeb
Punic,xpu
Kuranko,knk
Lele (Guinea),llc
Tesaka Malagasy,tkg
Southern Betsimisaraka Malagasy,bzc
Plateau Malagasy,plt
Antankarana Malagasy,xmv
Laka of Lau (Nigeria),lak
Central Grebo,grv
Gboloo Grebo,gec
Ali,aiy
Ngbaka Manza,ngg
Gula Iro,glj
Fania,fni
Kasem,xsm
Phuie,pug
Winyé,kst
Buli (Ghana),bwu
Konni,kma
Láá Láá Bwamu,bwj
Buamu,box
Cwi Bwamu,bwy
Waka,wav
Yendang,ynq
Samba Leko,ndi
Gimme,kmp
Gimnime,gmn
Koma Ndera,kmy
Mom Jango,ver
Sango,sag
Riverain Sango,snj
Banda-Bambari,liy
Banda-Ndélé,bfl
Togbo-Vara Banda,tor
Banda-Banda,bpd
Banda-Mbrès,bqk
Ganzi,gnz
Baka (Cameroon),bkc
Gilima,gix
Ngbaka Ma'bo,nbm
Monzombo,moj
Ndogo,ndz
Bai,bdj
Belanda Viri,bvi
Fante,fat
Twi,twi
Baoulé,bci
Sehwi,sfw
Anufo,cko
Ahanta,aha
Nkami,nkq
Nkonya,nko
Dompo,doy
Gonja,gjn
Larteh,lar
Ede Nago,nqg
Ede Ije,ijj
Ede Idaca,idd
Ede Ica,ica
Manigri-Kambolé Ede Nago,xkb
Ifè,ife
Rogo,rod
Basa-Gumna,bsl
Bassa-Kontagora,bsr
Kizamani,izm
Bina (Nigeria),byj
Kinuku,kkd
Kurama,krh
Gbiri-Niragu,grh
Kono (Nigeria),klk
Sheni-Ziriya,scv
Lere,gnh
Oro,orx
Ebughu,ebg
Enwan (Akwa Ibom State),enw
Uda,uda
Anaang,anw
Idere,ide
Eki,eki
Nkari,nkz
Nkukoli,nbo
Lubila,kcc
Legbo,agb
Umon,umm
Agwagwune,yay
Kohumono,bcs
Kukele,kez
Uzekwe,eze
Kami (Nigeria),kmi
Gupa,gpa
Jukun Takum,jbu
Jibu,jib
Hõne,juh
Jiba,juo
Kwanja,knp
Bung,bqd
Dzodinka,add
Limbum,lmp
Yamba,yam
Mbe',mtk
Atong,ato
Menka,mea
Meta',mgo
Ngamambo,nbv
Ngie,ngj
Ngoshie,nsh
Njen,njj
Mundani,mnf
Bamunka,bvm
Wushi,bse
Bankal,jjr
Gingwak,jgk
Kemezung,dmo
Noone,nhu
Evant,bzz
Lwalu,lwa
Luna,luj
Binji,bpj
Songe,sop
Zula,zla
Mbowe,mxo
Luyi,lyn
Nzadi,nzd
Soli,sby
Chikunda,kdn
Tumbuka,tum
Tonga (Nyasa),tog
Takwane,tke
Marenje,vmr
Makhuwa,vmw
Makhuwa-Moniga,mhm
Makhuwa-Shirima,vmk
Makhuwa-Saka,xsq
Makhuwa-Meetto,mgh
Makhuwa-Marrevone,xmc
Koti,eko
Nathembo,nte
Venda,ven
Kwami,ktf
Buyu,byi
Bembe,bmb
Ikumbure,okc
Taabwa,tap
Bwile,bwc
Embu,ebu
Sumbwa,suw
Gungu,rub
Nyakyusa-Ngonde,nyy
Ndali,ndh
Mbunga,mgy
Ndwewe,nww
Bomwali,bmw
Mbangwe,zmn
Eton-Mengisa,eto
Fang (Equatorial Guinea),fan
Bulu (Cameroon),bum
Dimbong,dii
Benga,bng
Batanga,bnm
Mahongwe,mhb
Kota (Gabon),koq
Osamayi,syx
Sighu,sxe
Nkongho,nkc
Ejamat,eja
Keerak,hhr
Kuwaataay,cwt
Zeem,zem
Tulai,tvi
Chaari,cxh
Buli (Bauchi State),uly
Pesse,pze
Zangwal,zah
Tala,tak
Koenoem,kcs
Pyapun,pcw
Piya-Kwonci,piy
Pero,pip
Tangale,tan
Galambu,glo
Dirasha,gdl
Bussa,dox
Tunni,tqq
Dabarre,dbr
Jiiddu,jii
Baiso,bsw
Garre,gex
Aweer,bob
Chadian Arabic,shu
Bambara,bam
Marka,rkm
Bolon,bof
Dyula,dyu
Mandinka,mnk
Mixifore,mfg
Kakabe,kke
Tsimihety Malagasy,xmw
Northern Betsimisaraka Malagasy,bmm
Southern Nuni,nnw
Northern Nuni,nuv
Lukpa,dop
Kabiyé,kbp
Lama (Togo),las
Tem,kdh
Tula,tul
Dadiya,dbd
Bangwinji,bsj
Kamo,kcq
Awak,awo
Biali,beh
Wom (Nigeria),wom
Nyong,muo
Ngundu,nue
Kpagua,kuw
Gobu,gox
Mono (Democratic Republic of Congo),mnh
Mid-Southern Banda,bjo
Kpala,kpl
Yango,yng
Sere,swf
Tagbu,tbm
Anyin Morofo,mtb
Anyin,any
Nzima,nzi
Jwira-Pepesa,jwi
Nawuri,naw
Kplang,kph
Krache,kye
Cherepon,cpn
Gua,gwx
Ulukwumi,ulb
Eastern Acipa,acp
Shama-Sambuga,sqa
Rishiwa,rsw
Vori,sde
Shau,sqh
Gyem,gye
Ziriya,zir
Iguta,nar
Tunzu,dza
Janji,jni
Gamo-Ningi,bte
Kudu-Camo,kov
Ibibio,ibb
Efik,efi
Itu Mbon Uzo,itm
Ibuoro,ibr
Lenyima,ldg
Leyigha,ayi
Somyev,kgt
Bafanji,bfj
Bangolan,bgj
Mungaka,mhk
Baba,bbw
Bambalang,bmo
Bamun,bax
Awing,azo
Beba,bfp
Pinyin,pny
Kwaja-Ndaktup,kdz
Kenswei Nsei,ndb
Vengo,bav
Kung,kfl
Babanki,bbk
Laimbue,lmx
Kuk,kfn
Mashi (Nigeria),jms
Naki,mff
Bukwen,buz
Ncane-Mungong,ncr
Efutop,ofu
Nde-Nsele-Nta,ndd
Otank,uta
Tiv,tiv
Iyive,uiv
Umbundu,umb
Kimbundu,kmb
Nsongo,nsx
Kibala,blv
Mpinda,pnd
Kaonde,kqn
Sanga (Democratic Republic of Congo),sng
Luba-Katanga,lub
Kanyok,kny
Mashi (Zambia),mho
Mbukushu,mhw
Simaa,sie
Nyengo,nye
Lwel,lvl
Mbesa,zms
Lusengo,lse
Mboko,mdu
Akwa,akw
Dibole,bvx
Bati (Cameroon),btc
Subiya,sbs
Totela,ttl
Fwe,fwe
Toka-Leya-Dombe,dov
Mwera (Nyasa),mjh
Nyanja,nya
Barwe,bwg
Malawi Sena,swk
Phimbi,phm
Nyungwe,nyu
Sena,seh
Chuwabu,chw
Maindo,cwb
Lolo,llb
Kokola,kzn
Mozambique Lomwe,ngl
Malawi Lomwe,lon
Dema,dmx
Nambya,nmq
Kalanga,kck
Ndau,ndc
Zimba,zmb
Songoora,sod
Enya-Kisangani,gey
Mituku,zmq
Lega-Mwenga,lgm
Dhaiso,dhs
Kamba (Kenya),kam
Chuka,cuh
Temi,soz
Kikuyu,kik
Gweno,gwe
Sagalla,tga
Taita,dav
Bende,bdp
Tongwe,tny
Sukuma,suk
Kimbu,kiv
Nyamwezi,nym
Konongo-Ruwila,kcz
Manda-Matumba,mgs
Kinga,zga
Magoma,gmx
Kisi,kiz
Pangwa,pbr
Sangu (Tanzania),sbp
Vwanji,wbi
Bena (Tanzania),bez
Hehe,heh
Kabwari,kcw
Logooli,rag
Kerewe,ked
Zinza,zin
Taveta,tvs
Kagulu,kki
Lambya,lai
Bungu,wun
Pimbwe,piw
Safwa,sbk
Malila,mgq
Ndengereko,ndg
Matumbi,mgw
Nindi,nxi
Mpoto,mpa
Matengo,mgv
Yao,yao
Mwera (Chimwera),mwe
Machinga,mvw
Makonde,kde
Makwe,ymk
Bekwil,bkw
Mpongmpong,mgg
Kélé,keb
Ngom,nra
Ndambomo,nxo
Sake,sak
Barombi,bbi
Bankon,abb
Bakoko,bkh
Mengisa,mct
Ewondo,ewo
Bebil,bxp
Bebele,beb
Lefa,lfa
Bafia,ksf
Duala,dua
Malimba,mzd
Isu (Fako Division),szv
Bakole,kme
Molengue,bxc
Yasa,yko
Ngumbi,nui
Wumbvu,wum
Ndasa,nda
Kande,kbs
Tsogo,tsv
Viya,gev
Bubi,buw
Karon,krx
Mlomp,mlo
Oorlams,oor
Afrikaans,afr
Zul,zlu
Dir-Nyamzak-Mbarimi,nzr
Kwaami,ksq
Kutto,kpa
Geruma,gea
Gera,gew
Deno,dbb
Kubi,kof
Borana-Arsi-Guji Oromo,gax
Orma,orc
Eastern Oromo,hae
Waata,ssn
Sudanese Arabic,apd
South Sudanese Creole Arabic,pga
Nubi,kcn
Worodougou,jud
Mahou,mxx
Wojenaka,jod
Eastern Maninkakan,emk
Sankaran Maninka,msc
Xaasongaxango,kao
Jahanka,jad
Western Maninkakan,mlq
Kita Maninkakan,mwk
Kagoro,xkg
Deg,mzw
Paasaal,sig
Tumulung Sisaala,sil
Bago-Kusuntu,bqg
Notre,bly
Waama,wwa
Ginyanga,ayg
Chumburung,ncu
Tchumbuli,bqa
Dwang,nnu
Nchumbulu,nlu
Yoruba,yor
Izora,cbo
Jere,jer
Panawa,pwb
Western Mambila,mzk
Mbongno,bgu
Wawa,www
Vute,vut
Bamali,bbq
Bamukumbit,bqt
Bamenyam,bce
Kpati,koc
Mendankwe-Nkwen,mfd
Ngemba,nge
Bafut,bfd
Bambili-Bambui,baw
Kwa',bko
Nda'nda',nnz
Fe'fe',fmp
Ghomálá',bbj
Medumba,byv
Ngomba,jgo
Mengaka,xmg
Ngombale,nla
Southern Mfumte,nfu
Ndaktup,ncp
Mbessa,emz
Oku,oku
Kom (Cameroon),bkm
Mmen,bfm
Bum,bmv
Zhoa,zhw
Isu (Menchum Division),isu
Chung,cnq
Mbuk,bpc
Ekajuk,eka
Nnam,nbp
Nkem-Nkum,isi
Abanyom,abm
Ndombe,ndq
Ngendelengo,nql
Kuvale,olu
Kwandu,xdo
Kwangali,kwn
Diriku-Shambyu,diu
Salampasu,slx
Sama,smd
Mbala,mdp
Sonde,shc
Holu,hol
Luba-Lulua,lua
Bangubangu,bnx
Hemba-Yazi,hem
Ding,diz
Mbole,mdq
Yela-Kela,yel
Ombo,oml
Sengele,szg
Bwela,bwl
Mbosi,mdw
Koyo,koh
Bongili,bui
Ngando (Central African Republic),ngd
Bomitaba,zmx
Impfondo,bok
Yaka (Central African Republic),axk
Mbati,mdn
Ngundi,ndn
Pande,bkj
Mbule,mlb
Tuki,bag
Leti (Cameroon),leo
Tuotomb,ttf
Yambeta,yat
Ila,ilb
Lenje,leh
Sala,shq
Tonga (Zambia),toi
Manyika,mxc
Tewe,twx
Lega-Shabunda,lea
Kanu,khx
Bemba (Zambia),bem
Aushi,auh
Lala-Bisa,leb
Seba,kdg
Lamba,lam
Tharaka,thk
Rombo,rof
Ruwila,rwl
Mozambican Ngoni,xnq
Tanzanian Ngoni,xnj
Benamanga,egm
Konzo,koo
Nande,nnb
Kara (Tanzania),reg
Jita,jit
Kwaya,kya
Idakho-Isukha-Tiriki,ida
Subi,xsj
Singa,sgm
Gwere,gwr
Ganda,lug
Asu (Tanzania),asa
Mbugu,mhd
Mwani,wmw
Ilwana,mlk
Pokomo,pkb
Doe,doe
Luguru,ruf
Gogo,gog
Nyika (Tanzania),nkt
Fipa,fip
Ngindo,nnq
Ndendeule,dne
Matambwe,wtb
Njyem,njy
Koonzime,ozm
Ukhwejo,ukh
Mpiemo,mcx
Basa (Cameroon),bas
Hijuk,hij
Mbo (Cameroon),mbo
Bassossi,bsi
Simba,sbw
Pinji,pic
Daza,dzd
Giiwo,kks
Ngamo,nbh
Koyaga,kga
Koro (Côte d'Ivoire),kfo
Konyanka Maninka,mku
Manya,mzj
Masikoro Malagasy,msh
West Malagasy Sakalava,skg
Bara Malagasy,bhr
Tanosy Malagasy,txy
Vagla,vag
Sissala of Burkina Faso,sld
Western Sisaala,ssl
Delo,ntr
Chala,cll
Yom,pil
Nawdm,nmz
Nateni,ntm
Gikyode,acd
Foodo,fod
Sanga (Nigeria),xsn
Lemoro,ldj
Donga Mambila,mcu
Cambap-Langa,twn
Yeni,yei
Njerep,njr
Luo (Cameroon),luw
Mvano,mcj
Ndunda,nuh
Yemba,ybb
Ngiemboon,nnh
Ngwe,nwe
Aghem,agq
Weh,weh
Nkhumbi,khu
Nyaneka,nyk
Herero,her
Zemba,dhm
Kuanyama,kua
Central Wambo,lnb
Chokwe,cjk
Luvale,lue
Luchazi,lch
Nkangala,nkn
Nyemba,nba
Lunda,lun
Mbangala,mxg
Kwese,kws
Phende,pem
Poke,pof
Kele-Foma,khy
Lombo,loo
Dengese,dez
Kusu,ksv
Hamba de Lomela,hba
Tetela,tll
Kela (Democratic Republic of Congo),kel
Lele (Democratic Republic of Congo),lel
Bushoong,buf
Wongo,won
Bolia,bli
Ntomba,nto
Ngando-Lalia,nxd
Mongo,lol
Motembo-Kunda,tmv
Bolondo,bzm
Ndolo,ndl
Dzando,dzn
Bamwe,bmg
Bomboli-Bozaba,bml
Bomboma,bws
Nuasue,yav
Nyokon,nvo
Nomaande,lem
Tunen,tvu
Shona,sna
Tawara,twl
Birwa,brl
Kgalagadi,xkv
Meru,mer
Mwimbi-Muthambi,mws
Mochi,old
Vunjo,vun
Kahe,hka
Machame,jmc
Rwa,rwk
Vinza,vin
Kinyarwanda,kin
Tembo (Kitembo),tbt
Shi,shr
Suba,sxb
Gusii,guz
Haya,hay
Nyambo,now
Talinga-Bwisi,tlj
Hema,nix
Ruuli,ruc
Kenyi,lke
Soga,xog
Ngazidja Comorian,zdj
Mwali Comorian,wlc
Kwere,cwe
Kami (Tanzania),kcu
Sagala,sbm
Vidunda,vid
Nyika (Malawi and Zambia),nkv
Rungwa,rnw
Nyamwanga,mwn
Wanda,wbh
Mambwe-Lungu,mgr
Kwasio,nmg
Gyele,gyi
So (Cameroon),sox
Kol (Cameroon),biw
Makaa,mcp
Byep-Besep,mkk
Oroko,bdu
Bafaw-Balong,bwt
Mokpwe,bri
Wumboko-Bubia,bqm
Akoose,bss
Bakaka,bqz
Beele,bxq
Bole,bol
Chakali,cli
Tampulma,tpm
Ntcham,bud
Akaselem,aks
Kusaal,kus
Ditammari,tbz
Mbelime,mql
Kwambi,kwm
Ndonga,ndo
Ngandyera,nne
Mbwela,mfu
Mbunda,mck
Luimbi,lum
Kete,kcv
Ruund,rnd
Yansi,yns
Mbuun,zmp
Nkutu,nkw
Ohendo,soe
Lalia,lal
Bozaba,bzo
Ngombe (Democratic Republic of Congo),ngc
Ligenza,lgz
Boko (Democratic Republic of Congo),bkp
Lobala,loq
Mmaala,mmu
Tswapong,two
Pedi,nso
Tswana,tsn
Tswa,tsc
Gitonga,toh
Chopi,cce
Rundi,run
Ha,haq
Nyindu,nyg
Havu,hav
Hunde,hke
Ngoreme,ngq
Zanaki,zak
Ikizu,ikz
Kabwa,cwa
Kuria,kuj
Suba-Simbiti,ssc
Bukusu,bxk
Masaaba,myx
Congo Swahili,swc
Cutchi-Swahili,ccl
Swahili,swh
Digo,dig
Segeju,seg
Duruma,dug
Giryama,nyf
Chonyi-Dzihana-Kauma,coh
Maore Comorian,swb
Ndzwani Comorian,wni
Kutu,kdc
Zaramo,zaj
Bondei,bou
Shambala,ksb
Zigula-Mushungulu,ziw
Ngulu,ngp
Nyiha (Tanzania),nih
Nyiha (Malawi),nyr
Pichi,fpe
Krio,kri
Gourmanchéma,gux
Konkomba,xon
Ngangam,gng
Safaliba,saf
Kamara,jmr
Hanga,hag
Dagbani,dag
Mampruli,maw
Mfinu,zmf
Kwa South,tek
Nsong-Mpiin,soo
Ngongo,noq
Lengola,lej
Moingi,mwz
So (Democratic Republic of Congo),soc
Budza,bja
Babango,bbm
Bali (Democratic Republic of Congo),bcp
Beeke,bkf
Mabaale,mmz
Ndobo,ndw
Balobo,lie
Libinza,liz
Loi-Likila,biz
Moi (Congo),mow
Boloki,bkt
Nugunu (Cameroon),yas
Elip,ekm
Lozi,loz
Southern Sotho,sot
Xhosa,xho
Zulu,zul
Tsonga,tso
Ronga,rng
Hangaza,han
Shubi,suj
Fuliiru,flr
Joba,job
Ikoma-Nata,ntk
Sizaki,szk
Wanga,lwg
Nyore,nyd
Tooro,ttj
Nyoro,nyo
Chiga,cgg
Nyankole,nyn
Mushungulu,xma
Ghanaian Pidgin English,gpe
Moba,mfq
Bimoba,bim
Farefare,gur
Kantosi,xkt
Mossi,mos
Boma Yumu,boh
Samba,smx
Hungan,hum
Liko,lik
Bera,brf
Amba (Uganda),rwm
Likuba,kxx
Likwala,kwc
Bobangi,bni
Zimbabwean Ndebele,nde
Swati,ssw
South Transvaal Ndebele,nbl
Marama,lrm
Kisa,lks
Tsotso,lto
Kabras,lkb
East Nyala,nle
Tachoni,lts
Saamia,lsm
Nyole,nuj
Khayo,lko
Marachi,lri
Kabuverdianu,kea
Upper Guinea Crioulo,pov
Principense,pre
Réunion Creole French,rcf
Cameroon Pidgin,wes
Nigerian Pidgin,pcm
Northern Dagara,dgi
Central Dagaare,dga
Ngungwel,ngz
Teke-Eboo-Nzikou,ebo
Teke-Tyee,tyx
Teke-Kukuya,kkw
Teke-Fuumu,ifm
Sakata,skt
Yaka-Pelende-Lonzo,yaf
Suku,sub
Beembe,beq
Vanuma,vau
Nyali,nlj
Budu,buu
Ngelima,agh
Kango (Bas-Uélé District),kty
Komo (Democratic Republic of Congo),kmw
Bhele,bhy
Kango (Tshopo District),kzy
Ngbee,jgb
Nyanga-li,nyc
Kari,kbj
Ngbinda-Mayeka,nbd
Homa,hom
Kinshasa Lingala,lin
Bangala,bxg
Annobonese,fab
Morisyen,mfe
Seselwa Creole French,crs
Malba Birifor,bfo
Southern Birifor,biv
Wali (Ghana),wlx
Dagaari Dioula,dgd
Teke-Nzikou,nzu
Teke-Tsaayi,tyi
Tiene,tii
Lonzo,lnz
Pelende,ppp
Mbo (Democratic Republic of Congo),zmw
Ndaka,ndk
Bwa,bww
Pagibete,pae
Bila,bip
Kaiku,kkq
Mayeka,myc
Boguru,bqu
Bodo (Central African Republic),boy
Sãotomense,cri
Angolar,aoa
Kaamba,xku
Kunyi,njx
Latege,teg
Suundi,sdj
Doondo,dde
Laari,ldi
Tchitchege,tck
Teke-Laali,lli
Yaka (Congo),iyx
San Salvador Kongo,kwy
Yombe,yom
Ndumu,nmd
Kaningi,kzo
Mbere-Mbamba,mdt
Njebi,nzb
Tsaangi,tsa
Wandji,wdd
Duma,dma
Vili,vif
Hungu-Pombo,hng
Ombamba-Congo,mbm
Kituba (Congo),mkw
South-Central Koongo,kng
Kituba (Democratic Republic of Congo),ktu
Lumbu,lup
Bwisi,bwz
Punu,puu
Vumbu,vum
Sangu (Gabon),snq
Barama,bbg
Sira,swj
